Time,temperature
12:47:49,25.39
12:47:50,25.39
12:47:51,25.39
12:47:52,25.87
12:47:53,25.39
12:47:54,24.41
12:47:55,24.90
12:47:56,24.90
12:47:57,25.39
12:47:58,24.41
12:47:59,24.90
12:48:0,24.90
12:48:1,24.90
12:48:2,24.41
12:48:3,24.90
12:48:4,24.90
12:48:5,24.90
12:48:6,24.41
12:48:7,24.41
12:48:8,24.41
12:48:9,25.39
12:48:10,24.90
12:48:11,25.87
12:48:12,24.90
12:48:13,25.87
12:48:14,24.90
12:48:15,25.87
12:48:16,24.90
12:48:17,25.39
12:48:18,24.90
12:48:19,25.87
12:48:20,24.90
12:48:21,25.39
12:48:22,24.90
12:48:23,25.87
12:48:24,24.90
12:48:25,25.39
12:48:26,24.90
12:48:27,25.87
12:48:28,25.39
12:48:29,24.41
12:48:30,24.90
12:48:31,25.87
12:48:32,25.39
12:48:33,25.39
12:48:34,24.90
12:48:35,24.90
12:48:36,24.90
12:48:37,24.90
12:48:38,25.39
12:48:39,24.41
12:48:40,25.39
12:48:41,24.90
12:48:42,25.39
12:48:43,24.41
12:48:44,25.87
12:48:45,24.90
12:48:46,25.39
12:48:47,24.90
12:48:48,25.39
12:48:49,24.41
12:48:50,25.39
12:48:51,24.90
12:48:52,24.41
12:48:53,24.90
12:48:54,24.41
12:48:55,24.90
12:48:56,24.41
12:48:57,24.90
12:48:58,23.92
12:48:59,24.90
12:49:0,23.92
12:49:1,24.90
12:49:2,23.92
12:49:3,24.90
12:49:4,23.92
12:49:5,24.90
12:49:6,24.41
12:49:7,24.90
12:49:8,24.41
12:49:9,25.39
12:49:10,24.90
12:49:11,25.87
12:49:12,24.41
12:49:13,25.39
12:49:14,24.90
12:49:15,25.39
12:49:16,24.90
12:49:17,25.39
12:49:18,24.90
12:49:19,25.39
12:49:20,24.41
12:49:21,24.41
12:49:22,24.90
12:49:23,24.41
12:49:24,24.41
12:49:25,24.90
12:49:26,24.90
12:49:27,24.90
12:49:28,24.90
12:49:29,23.92
12:49:30,24.90
12:49:31,23.92
12:49:32,25.39
12:49:33,23.92
12:49:34,24.90
12:49:35,24.90
12:49:36,25.87
12:49:37,23.92
12:49:38,25.39
12:49:39,24.90
12:49:40,25.39
12:49:41,24.90
12:49:42,25.87
12:49:43,24.90
12:49:45,25.87
12:49:46,24.90
12:49:47,24.41
12:49:48,24.90
12:49:49,25.87
12:49:50,24.90
12:49:51,23.92
12:49:52,24.90
12:49:53,25.39
12:49:54,25.39
12:49:55,23.92
12:49:56,25.39
12:49:57,24.41
12:49:58,25.87
12:49:59,24.90
12:50:0,25.39
12:50:1,24.41
12:50:2,25.39
12:50:3,24.41
12:50:4,25.39
12:50:5,24.90
12:50:6,25.39
12:50:7,24.90
12:50:8,23.92
12:50:9,25.39
12:50:10,23.92
12:50:11,24.90
12:50:12,23.92
12:50:13,25.39
12:50:14,24.41
12:50:15,25.39
12:50:16,25.39
12:50:17,25.87
12:50:18,24.90
12:50:19,24.90
12:50:20,24.41
12:50:21,25.39
12:50:22,24.41
12:50:23,25.39
12:50:24,24.41
12:50:25,23.92
12:50:26,24.90
12:50:27,25.39
12:50:28,24.41
12:50:29,24.41
12:50:30,24.41
12:50:31,23.92
12:50:32,24.41
12:50:33,23.92
12:50:34,24.41
12:50:35,24.90
12:50:36,24.90
12:50:37,24.41
12:50:38,23.92
12:50:39,24.90
12:50:40,25.87
12:50:41,24.90
12:50:42,24.41
12:50:43,24.90
12:50:44,25.39
12:50:45,24.90
12:50:46,23.92
12:50:47,25.39
12:50:48,24.90
12:50:49,25.39
12:50:50,24.90
12:50:51,25.39
12:50:52,23.92
12:50:53,23.92
12:50:54,24.90
12:50:55,24.41
12:50:56,24.90
12:50:57,23.92
12:50:58,24.90
12:50:59,23.92
12:51:0,25.39
12:51:1,23.92
12:51:2,25.39
12:51:3,24.41
12:51:4,25.39
12:51:5,24.90
12:51:6,23.92
12:51:7,24.90
12:51:8,24.90
12:51:9,24.90
12:51:10,25.39
12:51:11,24.90
12:51:12,23.92
12:51:13,24.90
12:51:14,23.92
12:51:15,25.39
12:51:16,24.41
12:51:17,25.39
12:51:18,23.92
12:51:19,24.41
12:51:20,24.90
12:51:21,24.41
12:51:22,24.90
12:51:23,23.92
12:51:24,24.90
12:51:25,23.92
12:51:26,25.39
12:51:27,23.92
12:51:28,24.90
12:51:29,24.41
12:51:30,25.39
12:51:31,24.41
12:51:32,25.87
12:51:33,24.90
12:51:34,24.41
12:51:35,24.90
12:51:36,25.87
12:51:37,24.90
12:51:38,24.41
12:51:39,25.39
12:51:40,24.41
12:51:41,24.41
12:51:42,23.92
12:51:43,24.90
12:51:44,24.41
12:51:45,24.41
12:51:46,24.41
12:51:47,25.39
12:51:48,24.90
12:51:49,23.92
12:51:50,24.41
12:51:51,24.90
12:51:52,24.90
12:51:53,25.39
12:51:54,24.90
12:51:55,24.41
12:51:56,25.39
12:51:57,24.90
12:51:59,24.41
12:52:0,24.90
12:52:1,24.41
12:52:2,24.90
12:52:3,25.39
12:52:4,24.90
12:52:5,23.92
12:52:6,24.90
12:52:7,23.92
12:52:8,24.90
12:52:9,23.92
12:52:10,24.90
12:52:11,23.92
12:52:12,25.39
12:52:13,24.41
12:52:14,25.39
12:52:15,24.41
12:52:16,25.39
12:52:17,24.41
12:52:18,25.39
12:52:19,24.90
12:52:20,24.41
12:52:21,25.87
12:52:22,23.92
12:52:23,25.39
12:52:24,23.92
12:52:25,24.41
12:52:26,24.41
12:52:27,24.41
12:52:28,23.92
12:52:29,23.92
12:52:30,24.90
12:52:31,23.92
12:52:32,24.41
12:52:33,24.41
12:52:34,24.90
12:52:35,24.41
12:52:36,25.39
12:52:37,24.41
12:52:38,25.39
12:52:39,24.41
12:52:40,24.41
12:52:41,24.90
12:52:42,24.90
12:52:43,24.90
12:52:44,23.92
12:52:45,25.39
12:52:46,24.90
12:52:47,25.39
12:52:48,25.39
12:52:49,24.41
12:52:50,24.41
12:52:51,24.41
12:52:52,24.41
12:52:53,23.92
12:52:54,24.90
12:52:55,23.92
12:52:56,25.39
12:52:57,24.41
12:52:58,25.39
12:52:59,24.41
12:53:0,24.41
12:53:1,24.41
12:53:2,25.39
12:53:3,24.41
12:53:4,23.92
12:53:5,24.41
12:53:6,23.92
12:53:7,24.90
12:53:8,23.92
12:53:9,24.90
12:53:10,24.41
12:53:11,24.90
12:53:12,24.41
12:53:13,25.39
12:53:14,24.41
12:53:15,25.39
12:53:16,24.90
12:53:17,23.92
12:53:18,25.39
12:53:19,23.92
12:53:20,25.39
12:53:21,24.41
12:53:22,25.39
12:53:23,23.92
12:53:24,23.92
12:53:25,24.90
12:53:26,23.92
12:53:27,24.41
12:53:28,24.41
12:53:29,24.41
12:53:30,24.90
12:53:31,24.90
12:53:32,24.41
12:53:33,24.90
12:53:34,24.41
12:53:35,23.92
12:53:36,24.90
12:53:37,25.39
12:53:38,23.92
12:53:39,23.92
12:53:40,24.90
12:53:41,24.41
12:53:42,23.92
12:53:43,24.41
12:53:44,23.92
12:53:45,24.41
12:53:46,23.92
12:53:47,25.39
12:53:48,24.41
12:53:49,25.39
12:53:50,24.41
12:53:51,25.39
12:53:52,24.41
12:53:53,24.41
12:53:54,24.90
12:53:55,23.92
12:53:56,25.39
12:53:57,23.92
12:53:58,25.39
12:53:59,23.92
12:54:0,24.41
12:54:1,24.41
12:54:2,23.43
12:54:3,24.41
12:54:4,23.92
12:54:5,24.90
12:54:6,23.92
12:54:7,25.39
12:54:8,24.41
12:54:9,24.41
12:54:10,24.41
12:54:12,25.39
12:54:12,24.41
12:54:14,23.92
12:54:15,24.41
12:54:16,23.92
12:54:17,24.41
12:54:18,23.92
12:54:19,25.39
12:54:20,24.41
12:54:21,24.41
12:54:22,24.41
12:54:23,25.39
12:54:24,24.90
12:54:25,23.92
12:54:26,25.39
12:54:27,24.41
12:54:28,23.92
12:54:29,24.41
12:54:30,25.39
12:54:31,24.41
12:54:32,24.41
12:54:33,24.41
12:54:34,23.92
12:54:35,24.90
12:54:36,24.41
12:54:37,24.90
12:54:38,24.41
12:54:39,24.41
12:54:40,24.90
12:54:41,24.90
12:54:42,24.90
12:54:43,23.92
12:54:44,25.39
12:54:45,23.92
12:54:46,23.43
12:54:47,24.41
12:54:48,23.43
12:54:49,24.41
12:54:50,24.41
12:54:51,25.39
12:54:52,23.92
12:54:53,25.39
12:54:54,23.92
12:54:55,25.39
12:54:56,24.90
12:54:57,23.92
12:54:58,25.39
12:54:59,23.92
12:55:0,25.39
12:55:1,24.41
12:55:2,23.92
12:55:3,24.41
12:55:4,23.92
12:55:5,24.41
12:55:6,23.92
12:55:7,24.41
12:55:8,24.41
12:55:9,24.41
12:55:10,24.41
12:55:11,24.90
12:55:12,24.90
12:55:13,23.43
12:55:14,24.41
12:55:15,23.92
12:55:16,23.92
12:55:17,24.41
12:55:18,23.43
12:55:19,25.39
12:55:20,24.41
12:55:21,24.41
12:55:22,24.41
12:55:23,24.41
12:55:24,24.41
12:55:25,25.39
12:55:26,24.41
12:55:27,23.92
12:55:28,24.41
12:55:29,23.92
12:55:30,24.41
12:55:31,24.41
12:55:32,25.39
12:55:33,24.41
12:55:34,24.90
12:55:35,24.90
12:55:36,24.41
12:55:37,24.90
12:55:38,24.41
12:55:39,24.41
12:55:40,23.92
12:55:41,25.39
12:55:42,24.41
12:55:43,23.92
12:55:44,24.41
12:55:45,24.41
12:55:46,25.39
12:55:47,24.41
12:55:48,25.39
12:55:49,24.41
12:55:50,25.39
12:55:51,24.90
12:55:52,23.92
12:55:53,25.39
12:55:54,23.43
12:55:55,25.39
12:55:56,24.41
12:55:57,23.43
12:55:58,24.41
12:55:59,24.41
12:56:0,24.90
12:56:1,23.92
12:56:2,24.90
12:56:3,24.41
12:56:4,23.43
12:56:5,24.41
12:56:6,23.92
12:56:7,25.39
12:56:8,23.92
12:56:9,25.39
12:56:10,25.39
12:56:11,23.43
12:56:12,24.41
12:56:13,24.41
12:56:14,24.41
12:56:15,23.92
12:56:16,25.39
12:56:17,23.92
12:56:18,25.39
12:56:19,24.41
12:56:20,23.92
12:56:21,25.39
12:56:22,23.92
12:56:23,24.90
12:56:25,24.41
12:56:26,23.92
12:56:27,24.41
12:56:28,23.43
12:56:29,24.41
12:56:30,24.41
12:56:31,25.39
12:56:32,23.92
12:56:33,25.39
12:56:34,24.41
12:56:35,23.92
12:56:36,24.41
12:56:37,23.92
12:56:38,24.90
12:56:39,23.92
12:56:40,23.43
12:56:41,24.41
12:56:42,24.41
12:56:43,23.92
12:56:44,23.92
12:56:45,25.39
12:56:46,24.41
12:56:47,25.39
12:56:48,24.41
12:56:49,23.43
12:56:50,24.41
12:56:51,23.92
12:56:52,25.39
12:56:53,24.41
12:56:54,24.90
12:56:55,24.41
12:56:56,23.92
12:56:57,24.41
12:56:58,23.92
12:56:59,25.39
12:57:0,23.43
12:57:1,24.41
12:57:2,23.43
12:57:3,23.92
12:57:4,24.41
12:57:5,24.41
12:57:6,24.41
12:57:7,24.41
12:57:8,24.41
12:57:9,24.41
12:57:10,24.41
12:57:11,24.90
12:57:12,23.92
12:57:13,25.39
12:57:14,23.92
12:57:15,23.92
12:57:16,24.41
12:57:17,23.43
12:57:18,24.41
12:57:19,23.92
12:57:20,25.39
12:57:21,24.41
12:57:22,24.41
12:57:23,24.41
12:57:24,23.43
12:57:25,24.90
12:57:26,23.92
12:57:27,24.41
12:57:28,23.92
12:57:29,23.43
12:57:30,23.92
12:57:31,23.92
12:57:32,24.90
12:57:33,23.92
12:57:34,24.90
12:57:35,24.41
12:57:36,23.92
12:57:37,24.41
12:57:38,23.43
12:57:39,23.92
12:57:40,23.92
12:57:41,24.41
12:57:42,22.94
12:57:43,23.43
12:57:44,24.41
12:57:45,24.41
12:57:46,25.39
12:57:47,24.41
12:57:48,25.39
12:57:49,25.39
12:57:50,23.92
12:57:51,24.90
12:57:52,23.92
12:57:53,24.41
12:57:54,24.41
12:57:55,24.41
12:57:56,24.41
12:57:57,25.39
12:57:58,24.41
12:57:59,24.41
12:58:0,24.90
12:58:1,23.92
12:58:2,23.92
12:58:3,24.41
12:58:4,23.43
12:58:5,23.92
12:58:6,23.92
12:58:7,24.90
12:58:8,23.92
12:58:9,25.39
12:58:10,24.90
12:58:11,23.92
12:58:12,24.90
12:58:13,23.92
12:58:14,25.39
12:58:15,23.92
12:58:16,23.43
12:58:17,24.90
12:58:18,23.92
12:58:19,24.90
12:58:20,24.41
12:58:21,24.41
12:58:22,24.41
12:58:23,24.41
12:58:24,24.90
12:58:25,23.92
12:58:26,25.39
12:58:27,23.92
12:58:28,23.43
12:58:29,24.41
12:58:30,23.43
12:58:31,24.90
12:58:32,24.41
12:58:33,24.90
12:58:34,24.41
12:58:35,23.43
12:58:37,24.90
12:58:38,23.43
12:58:39,25.39
12:58:40,23.92
12:58:41,24.41
12:58:42,24.41
12:58:43,23.43
12:58:44,25.39
12:58:45,23.92
12:58:46,24.41
12:58:47,23.92
12:58:48,25.39
12:58:49,24.41
12:58:50,23.92
12:58:51,24.41
12:58:52,23.92
12:58:53,24.41
12:58:54,23.92
12:58:55,23.43
12:58:56,24.41
12:58:57,24.41
12:58:58,24.90
12:58:59,24.41
12:59:0,24.90
12:59:1,24.41
12:59:2,24.41
12:59:3,24.41
12:59:4,23.43
12:59:5,24.41
12:59:6,23.92
12:59:7,24.41
12:59:8,24.41
12:59:9,23.43
12:59:10,24.90
12:59:11,24.41
12:59:12,24.90
12:59:13,23.92
12:59:14,24.41
12:59:15,23.92
12:59:16,23.92
12:59:17,25.39
12:59:18,23.92
12:59:19,24.90
12:59:20,23.92
12:59:21,25.39
12:59:22,24.41
12:59:23,23.43
12:59:24,25.39
12:59:25,23.92
12:59:26,24.41
12:59:27,24.41
12:59:28,23.43
12:59:29,24.41
12:59:30,23.43
12:59:31,25.39
12:59:32,23.92
12:59:33,23.43
12:59:34,23.92
12:59:35,24.41
12:59:36,24.41
12:59:37,23.92
12:59:38,24.90
12:59:39,24.41
12:59:40,23.43
12:59:41,23.92
12:59:42,23.92
12:59:43,24.90
12:59:44,23.92
12:59:45,25.39
12:59:46,24.41
12:59:47,23.92
12:59:48,25.39
12:59:49,23.43
12:59:50,24.41
12:59:51,23.92
12:59:52,23.43
12:59:53,24.41
12:59:54,23.92
12:59:55,24.41
12:59:56,23.92
12:59:57,23.43
12:59:58,23.92
12:59:59,24.41
13:0:0,23.92
13:0:1,23.92
13:0:2,23.92
13:0:3,23.92
13:0:4,23.43
13:0:5,24.41
13:0:6,23.92
13:0:7,24.41
13:0:8,23.92
13:0:9,24.90
13:0:10,24.41
13:0:11,23.43
13:0:12,23.92
13:0:13,23.92
13:0:14,24.41
13:0:15,23.92
13:0:16,24.41
13:0:17,24.41
13:0:18,24.41
13:0:19,24.90
13:0:20,23.43
13:0:21,24.41
13:0:22,24.90
13:0:23,23.92
13:0:24,23.92
13:0:25,24.41
13:0:26,23.92
13:0:27,23.92
13:0:28,24.41
13:0:29,24.41
13:0:30,23.92
13:0:31,24.90
13:0:32,23.92
13:0:33,24.41
13:0:34,24.41
