CPUID:,0x20652,,,,,,,,,,,,
Processor:,Mobile Intel Core i5 520M (Arrandale),,,,,,,,,,,,
Platform:,LGA 1156 (Socket H),,,,,,,,,,,,
Revision:,C2,,,,,,,,,,,,
Lithography:,32nm,,,,,,,,,,,,
,,,,,,,,,,,,,
Session start:,19:18:59 - July 16 - 2011,,,,,,,,,,,,
,,,,,,,,,,,,,
Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz)
19:24:53,70,66,,,43,76,28,2194.5,,40,78,40,2061.5
19:24:54,66,71,,,43,76,24,2261,,40,78,27,2261
19:24:55,66,70,,,43,76,24,2261,,40,78,24,2128
19:24:56,72,64,,,43,76,20,2327.5,,40,78,30,2128
19:24:57,72,65,,,43,76,24,2261,,40,78,26,2128
19:24:58,71,69,,,43,76,25,2261,,40,78,25,2061.5
19:24:59,72,71,,,43,76,31,2261,,40,78,21,2194.5
19:25:00,72,74,,,43,76,25,2327.5,,40,78,27,2128
19:25:01,73,74,,,43,76,26,2261,,40,78,24,2061.5
19:25:02,73,74,,,43,76,23,2261,,40,78,28,2327.5
19:25:04,74,75,,,43,76,19,2261,,40,78,32,2261
19:25:05,73,75,,,43,76,25,2261,,40,78,25,2261
19:25:06,74,75,,,43,76,27,2261,,40,78,24,2128
19:25:07,70,77,,,43,76,21,2327.5,,40,78,30,2128
19:25:08,75,75,,,43,76,25,2261,,40,78,26,2128
19:25:09,69,77,,,43,76,23,2194.5,,40,78,29,2061.5
19:25:10,75,76,,,43,76,24,2261,,40,78,27,2194.5
19:25:11,75,76,,,43,76,27,2261,,40,78,24,1995
19:25:12,75,75,,,43,76,28,2194.5,,40,78,23,2128
19:25:13,75,76,,,43,76,23,2327.5,,40,78,27,2128
19:25:14,67,78,,,43,76,10,2261,,40,78,32,2128
19:25:15,74,77,,,43,76,16,2128,,40,78,25,2128
19:25:16,75,76,,,43,76,27,2261,,40,78,24,2261
19:25:17,73,70,,,43,76,27,2261,,40,78,28,2194.5
19:25:18,76,77,,,43,76,28,2327.5,,40,78,24,2261
19:25:19,76,77,,,43,76,30,2261,,40,78,21,2128
19:25:20,68,71,,,43,76,20,2061.5,,40,78,8,2061.5
19:25:21,76,74,,,43,76,29,2327.5,,40,78,22,2128
19:25:22,68,63,,,43,76,24,2327.5,,40,78,11,2261
19:25:23,72,74,,,43,76,27,2061.5,,40,78,20,1995
19:25:24,69,76,,,43,76,22,2327.5,,40,78,31,2327.5
19:25:25,69,78,,,43,76,24,2327.5,,40,78,28,2327.5
19:25:26,76,68,,,43,76,24,2327.5,,40,78,28,2327.5
19:25:27,68,77,,,43,76,27,2327.5,,40,78,30,2327.5
19:25:28,68,77,,,43,76,18,2327.5,,40,78,32,2327.5
19:25:29,68,79,,,43,76,14,2327.5,,40,79,38,2327.5
19:25:30,68,79,,,43,76,17,2261,,40,79,33,2327.5
19:25:31,69,77,,,43,76,22,2261,,40,79,33,2327.5
19:25:32,68,79,,,43,76,17,2261,,40,79,35,2261
19:25:33,69,78,,,43,76,18,2327.5,,40,79,34,2394
19:25:34,68,78,,,43,76,25,2327.5,,40,79,33,2327.5
19:25:35,68,73,,,43,76,19,2394,,40,79,31,2460.5
19:25:36,66,69,,,43,76,17,2261,,40,79,33,2327.5
19:25:37,65,69,,,43,76,21,2327.5,,40,79,29,2261
19:25:38,65,67,,,43,76,18,2261,,40,79,32,2194.5
19:25:39,64,63,,,43,76,27,2327.5,,40,79,25,2261
19:25:40,67,63,,,43,76,27,2327.5,,40,79,21,2194.5
19:25:41,63,62,,,43,76,26,2327.5,,40,79,25,2194.5
19:25:42,63,62,,,43,76,33,2327.5,,40,79,18,2194.5
19:25:43,64,61,,,43,76,30,2327.5,,40,79,22,2194.5
19:25:44,63,61,,,43,76,25,2327.5,,40,79,23,2261
19:25:45,63,61,,,43,76,30,2327.5,,40,79,22,2261
19:25:46,64,62,,,43,76,24,2327.5,,40,79,27,2261
19:25:47,62,60,,,43,76,23,2327.5,,40,79,27,2261
19:25:48,60,60,,,43,76,28,2261,,40,79,22,2128
19:25:49,62,60,,,43,76,20,2327.5,,40,79,32,2194.5
19:25:50,60,60,,,43,76,22,2261,,40,79,28,2261
19:25:51,63,59,,,43,76,22,2327.5,,40,79,28,2261
