Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
54533	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54536	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54539	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54542	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54545	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54548	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54551	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54554	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54557	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54560	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54563	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54567	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54570	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54573	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54576	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54579	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54582	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54585	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54588	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54591	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54594	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54597	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54600	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54603	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54606	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54609	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54612	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54615	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54619	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54622	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54625	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54628	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54631	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54634	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54637	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54640	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54643	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54646	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54649	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54652	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54655	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54658	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54661	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54664	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54667	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54670	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54674	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54677	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54680	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54683	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54686	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54689	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54692	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54695	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54698	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54701	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54704	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54707	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54710	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54713	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54716	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54719	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54722	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54726	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54729	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54732	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54735	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54738	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54741	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54744	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54747	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54750	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54753	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54756	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54759	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54762	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54765	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54768	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54771	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54774	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54778	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54781	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54784	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54787	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54790	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54793	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54796	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54799	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54802	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54805	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54808	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54811	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54814	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54817	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54820	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54823	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54826	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54830	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54833	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54836	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54839	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54842	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54845	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54848	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54851	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54854	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54857	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54860	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54863	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54866	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54869	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54872	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54875	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54878	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54881	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54885	43.0	43.0	44.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54888	43.0	43.0	43.5	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54891	43.0	43.0	44.0	38.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
