Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
65131	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65134	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65137	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65140	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65143	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65146	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65150	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65153	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65156	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65159	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65162	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65165	34.0	34.0	44.0	33.0	34.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65168	34.0	34.0	42.0	33.0	34.0	30.0	3.33	3.26	1.27	8.4	3.34	3.34
65171	32.0	32.0	41.0	33.0	31.0	30.0	3.33	3.26	1.27	8.4	3.34	3.34
65174	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.27	8.4	3.34	3.34
65177	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.27	8.4	3.34	3.34
65180	31.0	31.0	41.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65183	31.0	31.0	41.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65186	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65189	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65192	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65195	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65198	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65201	31.0	31.0	40.5	33.0	32.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65205	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65208	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65211	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65214	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65217	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65220	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65223	33.0	33.0	40.5	33.0	34.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65226	34.0	34.0	40.5	33.0	32.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65229	31.0	31.0	40.5	33.0	32.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65232	37.0	37.0	44.0	33.0	35.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
65235	32.0	32.0	41.5	33.0	32.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65238	31.0	31.0	41.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65241	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65244	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65247	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65250	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65253	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65257	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65260	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65263	32.0	32.0	40.5	33.0	32.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65266	32.0	32.0	40.5	33.0	32.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65269	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65272	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65275	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65278	31.0	31.0	40.5	33.0	32.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65281	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
