Unique ID, Manufacturer, Chemistry, Voltage (Volts)
43352 2009/09/19Hewlett-PackardPrimary, Hewlett-Packard, Lithium Ion, 10.63

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2011-07-01, 15:59:51, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:52, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:53, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:54, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:55, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:56, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:57, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:58, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:59, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:00, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:01, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:02, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:03, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:04, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:05, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:06, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:07, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:08, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:09, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:10, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:11, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:13, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:14, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:15, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:16, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 16:00:17, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
